"lang"
{
"Language"	"turkish"
"[english]announcer_ann_custom_generic_alert_26"	"Gold has been awarded to the enemy."
"announcer_ann_custom_generic_alert_27"	"Altın, bir düşmana ödüllendirildi."
"[english]announcer_ann_custom_generic_alert_27"	"Gold has been awarded to an enemy."
"announcer_ann_custom_generic_alert_28"	"Görev bir geçiş noktasına yaklaşıyor."
"[english]announcer_ann_custom_generic_alert_28"	"The objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_29"	"Görev varış noktasına yaklaşıyor."
"[english]announcer_ann_custom_generic_alert_29"	"The objective is nearing its destination."
"announcer_ann_custom_generic_alert_30"	"Bir görev bir geçiş noktasına yaklaşıyor."
"[english]announcer_ann_custom_generic_alert_30"	"An objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_31"	"Bir görev varış noktasına yaklaşıyor."
"[english]announcer_ann_custom_generic_alert_31"	"An objective is nearing its destination."
"announcer_ann_custom_generic_alert_32"	"Düşmanın görevi geçiş noktasına yaklaşıyor."
"[english]announcer_ann_custom_generic_alert_32"	"The enemy's objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_33"	"Düşmanın görevi varış noktasına yaklaşıyor."
"[english]announcer_ann_custom_generic_alert_33"	"The enemy's objective is nearing its destination."
"announcer_ann_custom_generic_alert_34"	"Bir düşmanın görevi geçiş noktasına yaklaşıyor."
"[english]announcer_ann_custom_generic_alert_34"	"An enemy's objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_35"	"Bir düşmanın görevi varış noktasına yaklaşıyor."
"[english]announcer_ann_custom_generic_alert_35"	"An enemy's objective is nearing its destination."
"announcer_ann_custom_generic_alert_36"	"Canavar katledildi."
"[english]announcer_ann_custom_generic_alert_36"	"The beast has been slain."
"announcer_ann_custom_generic_alert_37"	"Canavar düşman  tarafından katledildi."
"[english]announcer_ann_custom_generic_alert_37"	"The beast has been slain by the enemy."
"announcer_ann_custom_generic_alert_38"	"Canavar bir düşman tarafından katledildi."
"[english]announcer_ann_custom_generic_alert_38"	"The beast has been slain by an enemy."
"announcer_ann_custom_generic_alert_39"	"Bir canavar katledildi."
"[english]announcer_ann_custom_generic_alert_39"	"A beast has been slain."
"announcer_ann_custom_generic_alert_40"	"Bir canavar düşman tarafından katledildi."
"[english]announcer_ann_custom_generic_alert_40"	"A beast has been slain by the enemy."
"announcer_ann_custom_generic_alert_41"	"Bir canavar bir düşman tarafından katledildi."
"[english]announcer_ann_custom_generic_alert_41"	"A beast has been slain by an enemy."
"announcer_ann_custom_generic_alert_42"	"Canavar bir müttefik tarafından katledildi."
"[english]announcer_ann_custom_generic_alert_42"	"The beast has been slain by an ally."
"announcer_ann_custom_generic_alert_43"	"Bir canavar bir müttefik tarafından katledildi."
"[english]announcer_ann_custom_generic_alert_43"	"A beast has been slain by an ally."
"announcer_ann_custom_generic_alert_44"	"Kuzeydeki bir tehdit işaretlendi."
"[english]announcer_ann_custom_generic_alert_44"	"A threat has been spotted to the north."
"announcer_ann_custom_generic_alert_45"	"Kuzeydoğudaki bir tehdit işaretlendi."
"[english]announcer_ann_custom_generic_alert_45"	"A threat has been spotted to the northeast."
"announcer_ann_custom_generic_alert_46"	"Doğudaki bir tehdit işaretlendi."
"[english]announcer_ann_custom_generic_alert_46"	"A threat has been spotted to the east."
"announcer_ann_custom_generic_alert_47"	"Güneydoğudaki bir tehdit işaretlendi."
"[english]announcer_ann_custom_generic_alert_47"	"A threat has been spotted to the southeast."
"announcer_ann_custom_generic_alert_48"	"Güneydeki bir tehdit işaretlendi."
"[english]announcer_ann_custom_generic_alert_48"	"A threat has been spotted to the south."
"announcer_ann_custom_generic_alert_49"	"Güneybatıdaki bir tehdit işaretlendi."
"[english]announcer_ann_custom_generic_alert_49"	"A threat has been spotted to the southwest."
"announcer_ann_custom_generic_alert_50"	"Batıdaki bir tehdit işaretlendi."
"[english]announcer_ann_custom_generic_alert_50"	"A threat has been spotted to the west."
"announcer_ann_custom_generic_alert_51"	"Kuzeybatıdaki bir tehdit işaretlendi."
"[english]announcer_ann_custom_generic_alert_51"	"A threat has been spotted to the northwest."
"announcer_ann_custom_generic_alert_52"	"Merkezdeki bir tehdit işaretlendi."
"[english]announcer_ann_custom_generic_alert_52"	"A threat has been spotted at the center."
"announcer_ann_custom_generic_alert_53"	"Bilinmeyen bir yerde bir tehdit tespit edildi."
"[english]announcer_ann_custom_generic_alert_53"	"A threat has been spotted at an unknown location."
"announcer_ann_custom_generic_alert_54"	"Kuzeyden bir tehdit geliyor."
"[english]announcer_ann_custom_generic_alert_54"	"A threat comes to the north."
"announcer_ann_custom_generic_alert_55"	"Kuzeydoğudan bir tehdit geliyor."
"[english]announcer_ann_custom_generic_alert_55"	"A threat comes to the northeast."
"announcer_ann_custom_generic_alert_56"	"Doğudan bir tehdit geliyor."
"[english]announcer_ann_custom_generic_alert_56"	"A threat comes to the east."
"announcer_ann_custom_generic_alert_57"	"Güneydoğudan bir tehdit geliyor."
"[english]announcer_ann_custom_generic_alert_57"	"A threat comes to the southeast."
"announcer_ann_custom_generic_alert_58"	"Güneyden bir tehdit geliyor."
"[english]announcer_ann_custom_generic_alert_58"	"A threat comes to the south."
"announcer_ann_custom_generic_alert_59"	"Güneybatıdan bir tehdit geliyor."
"[english]announcer_ann_custom_generic_alert_59"	"A threat comes to the southwest."
"announcer_ann_custom_generic_alert_60"	"Batıdan bir tehdit geliyor."
"[english]announcer_ann_custom_generic_alert_60"	"A threat comes to the west."
"announcer_ann_custom_generic_alert_61"	"Kuzeybatıdan bir tehdit geliyor."
"[english]announcer_ann_custom_generic_alert_61"	"A threat comes to the northwest."
"announcer_ann_custom_generic_alert_62"	"Merkezden bir tehdit geliyor."
"[english]announcer_ann_custom_generic_alert_62"	"A threat comes to the center."
"announcer_ann_custom_generic_alert_63"	"Bilinmeyen bölgeden bir tehdit geliyor."
"[english]announcer_ann_custom_generic_alert_63"	"A threat comes to an unknown location."
"announcer_ann_custom_generic_alert_64"	"Kuzeyden bir şeyler geliyor."
"[english]announcer_ann_custom_generic_alert_64"	"Something comes to the north."
"announcer_ann_custom_generic_alert_65"	"Kuzeydoğudan bir şeyler geliyor."
"[english]announcer_ann_custom_generic_alert_65"	"Something comes to the northeast."
"announcer_ann_custom_generic_alert_66"	"Doğudan bir şeyler geliyor."
"[english]announcer_ann_custom_generic_alert_66"	"Something comes to the east."
"announcer_ann_custom_generic_alert_67"	"Güneydoğudan bir şeyler geliyor."
"[english]announcer_ann_custom_generic_alert_67"	"Something comes to the southeast."
"announcer_ann_custom_generic_alert_68"	"Güneyden bir şeyler geliyor."
"[english]announcer_ann_custom_generic_alert_68"	"Something comes to the south."
"announcer_ann_custom_generic_alert_69"	"Güneybatıdan bir şeyler geliyor."
"[english]announcer_ann_custom_generic_alert_69"	"Something comes to the southwest."
"announcer_ann_custom_generic_alert_70"	"Batıdan bir şeyler geliyor."
"[english]announcer_ann_custom_generic_alert_70"	"Something comes to the west."
"announcer_ann_custom_generic_alert_71"	"Kuzeybatıdan bir şeyler geliyor."
"[english]announcer_ann_custom_generic_alert_71"	"Something comes to the northwest."
"announcer_ann_custom_generic_alert_72"	"Merkezden bir şeyler geliyor."
"[english]announcer_ann_custom_generic_alert_72"	"Something comes to the center."
"announcer_ann_custom_generic_alert_73"	"Bilinmeyen bölgeden bir şeyler geliyor."
"[english]announcer_ann_custom_generic_alert_73"	"Something comes to an unknown location."
"announcer_ann_custom_generic_alert_74"	"Servet kuzeye geliyor."
"[english]announcer_ann_custom_generic_alert_74"	"Fortune comes to the north."
"announcer_ann_custom_generic_alert_75"	"Servet kuzeydoğuya geliyor."
"[english]announcer_ann_custom_generic_alert_75"	"Fortune comes to the northeast."
"announcer_ann_custom_generic_alert_76"	"Servet doğuya geliyor."
"[english]announcer_ann_custom_generic_alert_76"	"Fortune comes to the east."
"announcer_ann_custom_generic_alert_77"	"Servet güneydoğuya geliyor."
"[english]announcer_ann_custom_generic_alert_77"	"Fortune comes to the southeast."
"announcer_ann_custom_generic_alert_78"	"Servet güneye geliyor."
"[english]announcer_ann_custom_generic_alert_78"	"Fortune comes to the south."
"announcer_ann_custom_generic_alert_79"	"Servet güneybatıya geliyor."
"[english]announcer_ann_custom_generic_alert_79"	"Fortune comes to the southwest."
"announcer_ann_custom_generic_alert_80"	"Servet batıya geliyor."
"[english]announcer_ann_custom_generic_alert_80"	"Fortune comes to the west."
"announcer_ann_custom_generic_alert_81"	"Servet kuzeybatıya geliyor."
"[english]announcer_ann_custom_generic_alert_81"	"Fortune comes to the northwest."
"announcer_ann_custom_generic_alert_82"	"Servet merkeze geliyor."
"[english]announcer_ann_custom_generic_alert_82"	"Fortune comes to the center."
"announcer_ann_custom_generic_alert_83"	"Servet bilinmeyen bir yere geliyor."
"[english]announcer_ann_custom_generic_alert_83"	"Fortune comes to an unknown location."
"announcer_ann_custom_item_alerts_01"	"Bir öğe teslim edildi."
"[english]announcer_ann_custom_item_alerts_01"	"An item is being delivered."
"announcer_ann_custom_item_alerts_02"	"Bir öğe teslim edilmek üzere."
"[english]announcer_ann_custom_item_alerts_02"	"An item is about to be delivered."
"announcer_ann_custom_item_alerts_03"	"Bir öğe teslim aldın."
"[english]announcer_ann_custom_item_alerts_03"	"An item has arrived."
"announcer_ann_custom_cp_alerts_01"	"Dünya alınmaya çalışılıyor."
"[english]announcer_ann_custom_cp_alerts_01"	"Earth is being contested."
"announcer_ann_custom_cp_alerts_02"	"Ateş alınmaya çalışılıyor."
"[english]announcer_ann_custom_cp_alerts_02"	"Fire is being contested."
"announcer_ann_custom_cp_alerts_03"	"Metal alınmaya çalışılıyor."
"[english]announcer_ann_custom_cp_alerts_03"	"Metal is being contested."
"announcer_ann_custom_cp_alerts_04"	"Su alınmaya çalışılıyor."
"[english]announcer_ann_custom_cp_alerts_04"	"Water is being contested."
"announcer_ann_custom_cp_alerts_05"	"Tahta alınmaya çalışılıyor."
"[english]announcer_ann_custom_cp_alerts_05"	"Wood is being contested."
"announcer_ann_custom_cp_alerts_06"	"Rüzgar alınmaya çalışılıyor."
"[english]announcer_ann_custom_cp_alerts_06"	"Wind is being contested."
"announcer_ann_custom_cp_alerts_07"	"Hava alınmaya çalışılıyor."
"[english]announcer_ann_custom_cp_alerts_07"	"Air is being contested."
"announcer_ann_custom_cp_alerts_08"	"Eter alınmaya çalışılıyor."
"[english]announcer_ann_custom_cp_alerts_08"	"Aether is being contested."
"announcer_ann_custom_cp_alerts_09"	"Ruh alınmaya çalışılıyor."
"[english]announcer_ann_custom_cp_alerts_09"	"Soul is being contested."
"announcer_ann_custom_cp_alerts_10"	"Kalp alınmaya çalışılıyor."
"[english]announcer_ann_custom_cp_alerts_10"	"Heart is being contested."
"announcer_ann_custom_cp_alerts_11"	"Toprak alındı."
"[english]announcer_ann_custom_cp_alerts_11"	"Earth has been claimed."
"announcer_ann_custom_cp_alerts_12"	"Ateş alındı."
"[english]announcer_ann_custom_cp_alerts_12"	"Fire has been claimed."
"announcer_ann_custom_cp_alerts_13"	"Metal alındı."
"[english]announcer_ann_custom_cp_alerts_13"	"Metal has been claimed."
"announcer_ann_custom_cp_alerts_14"	"Su alındı."
"[english]announcer_ann_custom_cp_alerts_14"	"Water has been claimed."
"announcer_ann_custom_cp_alerts_15"	"Tahta alındı."
"[english]announcer_ann_custom_cp_alerts_15"	"Wood has been claimed."
"announcer_ann_custom_cp_alerts_16"	"Rüzgar alındı."
"[english]announcer_ann_custom_cp_alerts_16"	"Wind has been claimed."
"announcer_ann_custom_cp_alerts_17"	"Hava alındı."
"[english]announcer_ann_custom_cp_alerts_17"	"Air has been claimed."
"announcer_ann_custom_cp_alerts_18"	"Eter alındı."
"[english]announcer_ann_custom_cp_alerts_18"	"Aether has been claimed."
"announcer_ann_custom_cp_alerts_19"	"Ruh alındı."
"[english]announcer_ann_custom_cp_alerts_19"	"Soul has been claimed."
"announcer_ann_custom_cp_alerts_20"	"Kalp alındı."
"[english]announcer_ann_custom_cp_alerts_20"	"Heart has been claimed."
"announcer_ann_custom_cp_alerts_21"	"Dünyayı aldın."
"[english]announcer_ann_custom_cp_alerts_21"	"You have claimed Earth."
"announcer_ann_custom_cp_alerts_22"	"Ateşi aldın."
"[english]announcer_ann_custom_cp_alerts_22"	"You have claimed Fire."
"announcer_ann_custom_cp_alerts_23"	"Metali aldın."
"[english]announcer_ann_custom_cp_alerts_23"	"You have claimed Metal."
"announcer_ann_custom_cp_alerts_24"	"Suyu aldın."
"[english]announcer_ann_custom_cp_alerts_24"	"You have claimed Water."
"announcer_ann_custom_cp_alerts_25"	"Tahtayı aldın."
"[english]announcer_ann_custom_cp_alerts_25"	"You have claimed Wood."
"announcer_ann_custom_cp_alerts_26"	"Rüzgarı aldın."
"[english]announcer_ann_custom_cp_alerts_26"	"You have claimed Wind."
"announcer_ann_custom_cp_alerts_27"	"Havayı aldın."
"[english]announcer_ann_custom_cp_alerts_27"	"You have claimed Air."
"announcer_ann_custom_cp_alerts_28"	"Eteri aldın."
"[english]announcer_ann_custom_cp_alerts_28"	"You have claimed Aether."
"announcer_ann_custom_cp_alerts_29"	"Ruhu aldın."
"[english]announcer_ann_custom_cp_alerts_29"	"You have claimed Soul."
"announcer_ann_custom_cp_alerts_30"	"Kalbi aldın."
"[english]announcer_ann_custom_cp_alerts_30"	"You have claimed Heart."
"announcer_ann_custom_cp_alerts_31"	"Dünyayı ele geçirdin."
"[english]announcer_ann_custom_cp_alerts_31"	"You have captured Earth."
"announcer_ann_custom_cp_alerts_32"	"Ateşi ele geçirdin."
"[english]announcer_ann_custom_cp_alerts_32"	"You have captured Fire."
"announcer_ann_custom_cp_alerts_33"	"Metali ele geçirdin."
"[english]announcer_ann_custom_cp_alerts_33"	"You have captured Metal."
"announcer_ann_custom_cp_alerts_34"	"Suyu ele geçirdin."
"[english]announcer_ann_custom_cp_alerts_34"	"You have captured Water."
"announcer_ann_custom_cp_alerts_35"	"Tahtayı ele geçirdin."
"[english]announcer_ann_custom_cp_alerts_35"	"You have captured Wood."
"announcer_ann_custom_cp_alerts_36"	"Rüzgarı ele geçirdin."
"[english]announcer_ann_custom_cp_alerts_36"	"You have captured Wind."
"announcer_ann_custom_cp_alerts_37"	"Havayı ele geçirdin."
"[english]announcer_ann_custom_cp_alerts_37"	"You have captured Air."
"announcer_ann_custom_cp_alerts_38"	"Eteri ele geçirdin."
"[english]announcer_ann_custom_cp_alerts_38"	"You have captured Aether."
"announcer_ann_custom_cp_alerts_39"	"Ruhu ele geçirdin."
"[english]announcer_ann_custom_cp_alerts_39"	"You have captured Soul."
"announcer_ann_custom_cp_alerts_40"	"Kalbi ele geçirdin."
"[english]announcer_ann_custom_cp_alerts_40"	"You have captured Heart."
"announcer_ann_custom_cp_alerts_41"	"Toprak kilitlendi."
"[english]announcer_ann_custom_cp_alerts_41"	"Earth is locked."
"announcer_ann_custom_cp_alerts_42"	"Ateş kilitlendi."
"[english]announcer_ann_custom_cp_alerts_42"	"Fire is locked."
"announcer_ann_custom_cp_alerts_43"	"Metal kilitlendi."
"[english]announcer_ann_custom_cp_alerts_43"	"Metal is locked."
"announcer_ann_custom_cp_alerts_44"	"Su kilitlendi."
"[english]announcer_ann_custom_cp_alerts_44"	"Water is locked."
"announcer_ann_custom_cp_alerts_45"	"Odun kilitlendi."
"[english]announcer_ann_custom_cp_alerts_45"	"Wood is locked."
"announcer_ann_custom_cp_alerts_46"	"Rüzgar kilitlendi."
"[english]announcer_ann_custom_cp_alerts_46"	"Wind is locked."
"announcer_ann_custom_cp_alerts_47"	"Hava kilitlendi."
"[english]announcer_ann_custom_cp_alerts_47"	"Air is locked."
"announcer_ann_custom_cp_alerts_48"	"Eter kilitli."
"[english]announcer_ann_custom_cp_alerts_48"	"Aether is locked."
"announcer_ann_custom_cp_alerts_49"	"Ruh kilitlendi."
"[english]announcer_ann_custom_cp_alerts_49"	"Soul is locked."
"announcer_ann_custom_cp_alerts_50"	"Kalp kilitlendi."
"[english]announcer_ann_custom_cp_alerts_50"	"Heart is locked."
"announcer_ann_custom_cp_alerts_51"	"Dünya kilidi açıldı."
"[english]announcer_ann_custom_cp_alerts_51"	"Earth is unlocked."
"announcer_ann_custom_cp_alerts_52"	"Ateş kildi açıldı."
"[english]announcer_ann_custom_cp_alerts_52"	"Fire is unlocked."
"announcer_ann_custom_cp_alerts_53"	"Metal kildi açıldı."
"[english]announcer_ann_custom_cp_alerts_53"	"Metal is unlocked."
"announcer_ann_custom_cp_alerts_54"	"Su kildi açıldı."
