"lang"
{ 
	"Language" "korean" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"체력"					// $health
		"dota_ability_variable_mana"				"마나"						// $mana
		"dota_ability_variable_armor"				"방어력"						// $armor
		"dota_ability_variable_damage"				"피해"					// $damage
		"dota_ability_variable_str"					"힘"					// $str
		"dota_ability_variable_int"					"지능"				// $int
		"dota_ability_variable_agi"					"민첩"					// $agi
		"dota_ability_variable_all"					"모든 능력치"			// $all
		"dota_ability_variable_primary_attribute"	"주 능력치"			// $primary_attribute
		"dota_ability_variable_attack"				"공격 속도"				// $attack
		"dota_ability_variable_attack_pct"			"기본 공격 속도 백분율"	// $attack_pct
		"dota_ability_variable_hp_regen"			"체력 재생"		// $hp_regen
		"dota_ability_variable_lifesteal"			"흡혈"					// $lifesteal
		"dota_ability_variable_mana_regen"			"마나 재생"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"마나 재생의 오라"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"주문 피해"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"약화 효과 지속시간"			// $debuff_amp
		"dota_ability_variable_move_speed"			"이동 속도"			// $move_speed
		"dota_ability_variable_evasion"				"회피"					// $evasion
		"dota_ability_variable_spell_resist"		"마법 저항력"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"주문 흡혈"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_spell_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_spell_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_spell_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_selected_attrib"		"선택 능력치"		// $selected_attribute
		"dota_ability_variable_attack_range"		"공격 범위<font color='#7d7d7d'>(원거리만)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"공격 범위 <font color='#7d7d7d'>(근접만)</font>"	// $attack_range_melee
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_agility_buff_Description"				"힘 %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%, 민첩 %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%, 지능 %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%, 공격 속도 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%% 증가"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_agility_debuff"						"형상변환 민첩 흡수"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_agility_debuff_Description"			"능력치 %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS_PERCENTAGE% 및 공격 속도 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%% 손실"

		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_intelligence_buff"						"형상변환 지능 흡수"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_intelligence_buff_Description"			"힘 %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%, 민첩 %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%, 지능 %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%, 주문 증폭 %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% 증가"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_intelligence_debuff"					"형상변환 지능 흡수"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_intelligence_debuff_Description"		"능력치 %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS_PERCENTAGE%%% 및 주문 증폭 %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% 손실"

		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_all_buff"								"형상변환 복합 흡수"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_all_buff_Description"					"힘 %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%, 민첩 %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%, 지능 %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% 증가"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_all_debuff"							"형상변환 복합 흡수"
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_all_debuff_Description"				"능력치 %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS_PERCENTAGE%%% 손실"

		//BLOOD SEEKER
		"DOTA_Tooltip_ability_bloodseeker_bloodrage"									"피의 분노"
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_Description"						"혈귀를 피에 굶주린 분노로 몰아넣습니다. 효과를 받으면 매초 체력의 일정 비율을 희생하여 더 빠르게 공격하며, 주는 주문 피해도 증가합니다. 아군 영웅에게는 공격 속도 보너스가 절반만 적용됩니다."
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_Note0"								"혈귀나 아군에게 가해진 피해는 치명적이지 않으므로, 영웅이 죽지 않습니다."
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_Lore"								"스트리그위르가 유혈 사태에 대한 동물적인 갈망을 나누어줍니다."
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_duration"							"지속시간:"
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_attack_speed"						"공격 속도:"
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_spell_amp"							"%주문 증폭:"
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_damage_pct"							"%초당 최대 체력 피해:"

		"DOTA_Tooltip_ability_bloodseeker_bloodrage_scepter_description"				    "피의 분노로 공격 시 대상이 보유한 최대 체력의 %max_health_dmg_pct%%%를 <font color=\"#d8ae53\">순수</font> 피해로 줍니다."
		"DOTA_Tooltip_ability_bloodseeker_blood_bath"									"피의 의식"
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_Description"						"혈귀가 신성한 피로 대상 지역을 물들입니다. %delay_plus_castpoint_tooltip%초 후 의식이 끝나고, 대상 지역에 있는 적들은 피해를 받고 침묵에 빠집니다."
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_Lore"								"가죽이 벗겨진 쌍둥이는 전장에 피를 쏟는 이를 기꺼이 도울 준비가 되어 있습니다."
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_silence_duration"					"침묵 지속시간:"
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_damage"			"피해:"
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_radius"			"의식 지역:"
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_Note0"			"전체 시간은 지연 시간 %delay%초와 시전 시간 %abilitycastpoint%초를 합한 시간입니다."
		
		"DOTA_Tooltip_ability_bloodseeker_thirst"										"갈증"
		"DOTA_Tooltip_ability_bloodseeker_thirst_Description"							"혈귀는 적의 부상을 알아차리고 흥분하며, 적 영웅의 체력이 %min_bonus_pct%%% 아래로 떨어지면 이동 속도가 증가합니다. 적 영웅의 체력이 더 많이 떨어질수록 혈귀의 보너스 효과도 증가합니다. 적 영웅의 체력이 %invis_threshold_pct%%% 아래로 떨어지면 혈귀는 해당 영웅을 볼 수 있으며 진실의 시야를 얻습니다. 영웅당 보너스 효과가 중첩됩니다. 혈귀에게는 최대 이동 속도가 해제됩니다."
		"DOTA_Tooltip_ability_bloodseeker_thirst_Facet_bloodseeker_bloodrush"			"활성화하여 짧은 시간 동안 보너스 이동 속도 및 식혈동물 치유 보너스의 %sanguivore_multiplier%배를 얻습니다. 쿨다운 상태에서는 갈증의 지속 이동 속도가 %inactive_penalty_pct%%% 감소합니다. 모든 적 영웅이 최대 체력을 보유하고 있을 때는 시전할 수 없습니다."
		"DOTA_Tooltip_ability_bloodseeker_thirst_Lore"									"피가 흐르면 스트리그위르는 광란에 빠집니다."
		"DOTA_Tooltip_ability_bloodseeker_thirst_Note0"									"환영에는 발동하지 않습니다."
		"DOTA_Tooltip_ability_bloodseeker_thirst_Note1"									"최대 이동 속도 보너스는 적의 체력이 %max_bonus_pct%%% 이하일 때 적용됩니다."
		"DOTA_Tooltip_ability_bloodseeker_thirst_Note2"									"대상이 죽으면 효과는 %linger_duration%초 동안 남아 있습니다."
		"DOTA_Tooltip_ability_bloodseeker_thirst_min_bonus_pct"							"%갈증 체력 한도:"
		"DOTA_Tooltip_ability_bloodseeker_thirst_bonus_movement_speed"					"%최대 갈증 이동 속도:"
		"DOTA_Tooltip_ability_bloodseeker_thirst_visibility_threshold_pct"				"%시야 체력 한도:"
		"DOTA_Tooltip_ability_bloodseeker_thirst_active_movement_speed"					"%활성화 시 보너스 이동 속도:"
		"DOTA_Tooltip_ability_bloodseeker_thirst_active_duration"						"활성 지속시간:"

		"DOTA_Tooltip_ability_bloodseeker_sanguivore"										"식혈동물"
		"DOTA_Tooltip_ability_bloodseeker_sanguivore_Description"							"혈귀가 유닛을 처치할 때 혈귀의 레벨 + 기본 %base_heal%마다 유닛이 보유한 최대 체력의 %heal_hp_pct_per_level%%%에 해당하는 생명력을 회복합니다.<br><br>아군이 근처에서 적 영웅을 처치하면 절반만큼 회복합니다."
		"DOTA_Tooltip_ability_bloodseeker_sanguivore_shard_Description"						"혈귀 능력에서 비롯한 모든 초과 치유량이 지속하여 최대 체력의 %max_shield_pct%%%까지 막는 모든 피해 방어막으로 바뀝니다. 방어막 양은 매초 %barrier_decay_pct%%%씩 감소합니다."
		"DOTA_Tooltip_ability_bloodseeker_sanguivore_scepter_Description"						"혈귀가 자신이 가한 <font color=\"#d8ae53\">순수</font> 피해의 %pure_damage_lifesteal_pct%%%만큼 체력을 회복합니다."


		"DOTA_Tooltip_ability_bloodseeker_sanguivore_Note0"								"크립 흡혈이 %creep_lifesteal_reduction_pct%%% 감소합니다."
		"DOTA_Tooltip_ability_bloodseeker_sanguivore_half_bonus_aoe"						"절반 치유 반경:"
		"DOTA_Tooltip_ability_bloodseeker_sanguivore_max_hp_percent_heal_tooltip"			"%최대 체력 치유:"

		"DOTA_Tooltip_Facet_bloodseeker_arterial_spray"									"동맥 분출"		
		"DOTA_Tooltip_Facet_bloodseeker_arterial_spray_Description"			"파열에 걸린 유닛이 혈귀의 공격을 받으면 뒤로 밀려납니다."
		"DOTA_Tooltip_Facet_bloodseeker_bloodrush"								"피의 돌격"		
		"DOTA_Tooltip_Facet_bloodseeker_bloodrush_Description"					"혈귀는 일시적으로 갈증에 의한 이동 속도를 과도하게 증가시킬 수 있습니다."		

		"dota_hud_error_no_thirst_stacks"												"적 모두가 체력이 떨어지지 않은 상태일 때는 시전할 수 없습니다!"
		"dota_hud_error_unit_has_no_mana"												"대상 유닛에 마나가 없습니다"

		"DOTA_Tooltip_ability_bloodseeker_rupture"										"파열"
		"DOTA_Tooltip_ability_bloodseeker_rupture_Description"							"적 유닛의 피부를 파열시켜 해당 유닛의 현재 체력을 바탕으로 최초 피해를 줍니다. 파열에 걸린 대상이 움직이면, 움직인 거리를 바탕으로 피해를 받습니다."
		"DOTA_Tooltip_ability_bloodseeker_rupture_Facet_bloodseeker_arterial_spray"		"파열에 걸린 유닛은 혈귀의 공격을 받으면 뒤로 밀려납니다."
		"DOTA_Tooltip_ability_bloodseeker_rupture_Lore"									"혈귀에게 쫓길 때는 사소한 상처라도 치명적입니다."
		"DOTA_Tooltip_ability_bloodseeker_rupture_duration"								"지속시간:"
		"DOTA_Tooltip_ability_bloodseeker_rupture_movement_damage_pct"					"%이동 피해:"
		"DOTA_Tooltip_ability_bloodseeker_rupture_hp_pct"					"%체력 피해:"
		"DOTA_Tooltip_ability_bloodseeker_rupture_max_charges_scepter"					        "홀 충전 수:"
		"DOTA_Tooltip_ability_bloodseeker_rupture_charge_restore_time_scepter"					"홀 장착 시 충전 회복 시간:"
		"DOTA_Tooltip_ability_bloodseeker_rupture_knockback"						 "밀기 거리:"
		
		"DOTA_Tooltip_ability_bloodseeker_blood_mist"										"피의 안개"
		"DOTA_Tooltip_ability_bloodseeker_blood_mist_Description"							"주위 일정 범위에 계속 피를 흩뿌려, 체력을 잃는 대신 적에게 피해를 주고 느려지게 합니다. 활성화되어 있는 동안, 식혈동물의 치유 효과가 증가합니다. 쿨다운 상태일 때 끌 수 없습니다.<br><br>추가로, 지속하여 혈귀의 능력으로 초과 치유된 부분은 모두 피해 방어막으로 바뀌어 혈귀가 보유한 최대 체력의 50%까지 막습니다. 방어막의 흡수력은 매초 %barrier_decay_pct%%%씩 감쇠합니다."
		"DOTA_Tooltip_ability_bloodseeker_blood_mist_Note0"									"혈귀에게 가해진 피해는 치명적이지 않으므로, 영웅이 죽지 않습니다."
		"DOTA_Tooltip_ability_bloodseeker_blood_mist_hp_cost_per_second"					"%초당 체력 소모/피해:"
		"DOTA_Tooltip_ability_bloodseeker_blood_mist_radius"							"반경:"
		"DOTA_Tooltip_ability_bloodseeker_blood_mist_movement_slow"						"%이동 속도 둔화:"
		"DOTA_Tooltip_ability_bloodseeker_blood_mist_voracity_bonus_pct"						"%식혈동물 치유 보너스:"

		"DOTA_Tooltip_modifier_bloodseeker_blood_mist"									"피의 안개"
		"DOTA_Tooltip_modifier_bloodseeker_blood_mist_Description"						"피를 뿌려 근처에 있는 적에게 피해를 주고 둔화합니다. 갈증의 치유 효과가 증가합니다."

		"DOTA_Tooltip_modifier_bloodseeker_blood_mist_barrier"							"피의 안개"
		"DOTA_Tooltip_modifier_bloodseeker_blood_mist_barrier_Description"				"초과 치유로 생성된 방어막이 지속하여 감쇠함"

		"DOTA_Tooltip_modifier_bloodseeker_blood_mist_slow"								"피의 안개"
		"DOTA_Tooltip_modifier_bloodseeker_blood_mist_slow_Description"					"혈귀의 피로 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 둔화함"

		"DOTA_Tooltip_modifier_bloodseeker_bloodrage"					"피의 분노"
		"DOTA_Tooltip_modifier_bloodseeker_bloodrage_Description"		"지속 피해를 희생하여 공격 속도 및 주문 증폭 증가"
		"DOTA_Tooltip_modifier_bloodseeker_blood_bath"					"피의 숙청"
		"DOTA_Tooltip_modifier_bloodseeker_blood_bath_Description"		"대상을 처치 시 체력 회복"
		"DOTA_Tooltip_modifier_bloodseeker_thirst_speed"				"갈증 가속"
		"DOTA_Tooltip_modifier_bloodseeker_thirst_speed_Description"	"부상당한 적 감지, 이동 속도 증가"
		"DOTA_Tooltip_modifier_bloodseeker_thirst_vision"				"갈증"
		"DOTA_Tooltip_modifier_bloodseeker_thirst_vision_Description"				"혈귀가 피의 냄새를 맡아 위치를 감지할 수 있음"
		"DOTA_Tooltip_modifier_bloodseeker_thirst_active"				"피의 돌격"
		"DOTA_Tooltip_modifier_bloodseeker_thirst_active_Description"	"이동 속도 및 식혈동물 치유량 증가"
		"DOTA_Tooltip_modifier_bloodseeker_rupture"						"파열"
		"DOTA_Tooltip_modifier_bloodseeker_rupture_Description"			"이동한 거리에 비례하여 피해 받음"		
		
		"DOTA_Tooltip_modifier_bloodseeker_rupture_charge_counter"	"파열 충전 수"
		"DOTA_Tooltip_modifier_bloodseeker_rupture_charge_counter_Description"	"충전 횟수가 있으면 언제든 파열 시전 가능"

		//AXE
		"DOTA_Tooltip_ability_axe_berserkers_call"										"광전사의 외침"
		"DOTA_Tooltip_ability_axe_berserkers_call_Description"							"도끼전사가 주위 적을 도발하여 자신을 공격하게 하는 한편, 효과가 지속되는 동안 보너스 방어력을 얻습니다."
		"DOTA_Tooltip_ability_axe_berserkers_call_shard_description"  					"광전사의 외침으로 영향받은 유닛에게 투쟁욕이 적용됩니다."
		"DOTA_Tooltip_ability_axe_berserkers_call_facet_axe_call_out"  					"광전사의 외침으로 도끼전사가 증가한 보너스 방어력을 얻으며 영향받은 유닛은 공격 속도가 증가합니다."

		"DOTA_Tooltip_ability_axe_berserkers_call_abilitydraft_note"  				    "<span class=\"ADWarning\">아가님의 홀 강화 효과가 적용되려면 <b>투쟁욕</b>을 반드시 선발해야 합니다.</span>"
		"DOTA_Tooltip_ability_axe_berserkers_call_Lore"									"모굴 칸이 전쟁 함성을 내지릅니다. 도발된 적은 도끼전사를 상대로 이기기 어려운 싸움을 시작할 수밖에 없습니다."
		"DOTA_Tooltip_ability_axe_berserkers_call_radius"								"반경:"
		"DOTA_Tooltip_ability_axe_berserkers_call_bonus_armor"							"보너스 방어력:"
		"DOTA_Tooltip_ability_axe_berserkers_call_duration"								"지속시간:"
		"DOTA_Tooltip_ability_axe_berserkers_call_bonus_attack_speed"					"적 공격 속도 보너스:"

		"DOTA_Tooltip_ability_axe_battle_hunger"										"투쟁욕"
		"DOTA_Tooltip_ability_axe_battle_hunger_Description"							"적 유닛을 격분시켜 지속 피해를 줍니다. 투쟁욕 효과는 해당 적 유닛이 다른 유닛을 죽이거나 효과의 시간이 다할 때까지 지속합니다. 도끼전사의 방어력 요인에 따라 피해가 증가합니다. 도끼전사를 마주하지 않으면 둔화합니다."
		"DOTA_Tooltip_ability_axe_battle_hunger_shard_Description"						"투쟁욕 여러 개가 단일 대상에게 중첩될 수 있습니다."
		"DOTA_Tooltip_ability_axe_battle_hunger_Note0"									"건물을 파괴할 때도 이 약화 효과를 제거할 수 있습니다."
		"DOTA_Tooltip_ability_axe_battle_hunger_Lore"									"보통 영웅은 모굴 칸의 투쟁욕을 견뎌낼 수 없습니다. 그 욕망이 채워질 때까지 계속 피해를 받습니다."
		"DOTA_Tooltip_ability_axe_battle_hunger_duration"								"지속시간:"
		"DOTA_Tooltip_ability_axe_battle_hunger_slow"									"%이동 둔화:"
		"DOTA_Tooltip_ability_axe_battle_hunger_damage_per_second"						"초당 피해:"
		"DOTA_Tooltip_ability_axe_battle_hunger_armor_multiplier"						"방어력 배수:"
		"DOTA_Tooltip_ability_axe_counter_helix"										"반격의 나선"
		"DOTA_Tooltip_ability_axe_counter_helix_Description"							"일정 횟수의 공격 후, 나선을 그리며 반격해 주위 적 모두에게 순수 피해를 줍니다."
		"DOTA_Tooltip_ability_axe_counter_helix_scepter_description"					"반격의 나선으로 타격하는 적에게 중첩되는 약화 효과를 적용합니다. 효과에 걸린 적이 도끼전사에게 주는 전체 공격 피해가 감소합니다. 이제 반격의 나선에 쿨다운이 적용되지 않으며, 도끼전사가 공격할 때 미리 반격합니다."
		"DOTA_Tooltip_ability_axe_counter_helix_Note1"									"아가님의 홀을 보유했을 때 환영의 공격은 발동 조건 횟수로 계산되지 않습니다."
		"DOTA_Tooltip_ability_axe_counter_helix_debuff_duration"						"약화 효과 지속시간:"
		"DOTA_Tooltip_ability_axe_counter_helix_damage_reduction"						"%공격력 감소:"
		"DOTA_Tooltip_ability_axe_counter_helix_max_stacks"								"최대 중첩:"	
		"DOTA_Tooltip_ability_axe_counter_helix_Note0"									"반격의 나선은 적의 공격이 적중할 때 발동합니다."
		"DOTA_Tooltip_ability_axe_counter_helix_Lore"									"이 부대에 필요한 지원군은 도끼전사 하나뿐입니다."
		"DOTA_Tooltip_ability_axe_counter_helix_damage"									"피해:"
		"DOTA_Tooltip_ability_axe_counter_helix_radius"									"반경:"
		"DOTA_Tooltip_ability_axe_counter_helix_trigger_attacks"						"나선 발동에 필요한 공격 횟수:"
		"DOTA_Tooltip_ability_axe_culling_blade"										"도태의 도끼날"
		"DOTA_Tooltip_ability_axe_culling_blade_Description"							"도끼전사가 적의 약점을 찾아내어 공격하여 순수 피해를 줍니다. 이 공격으로 적 영웅이 죽으면 쿨다운이 초기화되며, 주위 아군 모두는 보너스 이동 속도 및 방어력을 얻습니다."
		"DOTA_Tooltip_ability_axe_culling_blade_Facet_axe_culling_armor"				"도태의 도끼날로 처치하면 도끼전사의 방어력이 증가합니다."
		"DOTA_Tooltip_ability_axe_culling_blade_Note0"									"도태의 도끼날에 의한 사망은 얕은 무덤 같은 다른 능력으로 막을 수 없습니다."
		"DOTA_Tooltip_ability_axe_culling_blade_Lore"									"모굴 칸은 전투와 분노의 화신으로, 겁도 없이 전장에서 자기에게 덤비는 자에게 잔혹한 최후를 선사합니다."
		"DOTA_Tooltip_ability_axe_culling_blade_damage"									"피해:"
		"DOTA_Tooltip_ability_axe_culling_blade_speed_bonus"							"%처치 이동 속도 보너스:"
		"DOTA_Tooltip_ability_axe_culling_blade_armor_bonus"							"처치 방어력 보너스:"
		"DOTA_Tooltip_ability_axe_culling_blade_speed_aoe"								"처치 강화 효과 반경:"
		"DOTA_Tooltip_ability_axe_culling_blade_speed_duration"							"처치 강화 효과 지속시간:"		
		"DOTA_Tooltip_ability_axe_culling_blade_armor_per_stack"						"처치당 방어력:"

		"DOTA_Tooltip_modifier_axe_culling_blade_permanent"								"도태된 방어력"
		"DOTA_Tooltip_modifier_axe_culling_blade_permanent_Description"					"도끼전사 도태의 도끼날로 수확한 방어력 %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
//		"DOTA_Tooltip_modifier_axe_culling_blade_permanent_PostGame"					"Enemies killed with Culling Blade."
		
		"DOTA_Tooltip_modifier_axe_berserkers_call"					"광전사의 외침"
		"DOTA_Tooltip_modifier_axe_berserkers_call_Description"		"도끼전사를 공격하도록 도발당함"
		"DOTA_Tooltip_modifier_axe_berserkers_call_armor"			"광전사의 외침 방어력"
		"DOTA_Tooltip_modifier_axe_berserkers_call_armor_Description"	"%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% 보너스 방어력"
		"DOTA_Tooltip_modifier_axe_battle_hunger"					"투쟁욕"
		"DOTA_Tooltip_modifier_axe_battle_hunger_Description"		"매초 %dMODIFIER_PROPERTY_TOOLTIP% 피해를 주고 이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 감소시킴"
		"DOTA_Tooltip_modifier_axe_battle_hunger_self"					"투쟁욕"
		"DOTA_Tooltip_modifier_axe_battle_hunger_self_Description"		"보너스 방어력 %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% 획득"
		"DOTA_Tooltip_modifier_axe_battle_hunger_self_movespeed"					"투쟁욕"
		"DOTA_Tooltip_modifier_axe_battle_hunger_self_movespeed_Description"		"이동 속도 보너스 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 획득"
